2023.01.20,2
2023.01.19,5
2023.01.18,4
2023.01.17,1
2023.01.16,1
2023.01.13,2
2023.01.11,2
2023.01.10,3
2023.01.09,3
2023.01.06,2
2023.01.05,3
2023.01.04,7
2023.01.03,1
2023.01.02,9
2023.01.01,1
2022.12.30,3
2022.12.29,36
2022.12.28,17
2022.12.27,18
2022.12.26,4
2022.12.23,3
2022.12.22,2
2022.12.21,2
2022.12.20,2
2022.12.19,1
2022.12.18,1
2022.12.16,1
2022.12.15,1
2022.12.13,2
2022.12.11,1
2022.12.09,1
2022.12.06,3
2022.12.05,1
2022.12.01,2
2022.11.30,3
2022.11.29,3
2022.11.28,1
2022.11.26,1
2022.11.25,2
2022.11.24,4
2022.11.22,2
2022.11.21,3
2022.11.18,5
2022.11.17,8
2022.11.16,3
2022.11.15,4
2022.11.14,7
2022.11.13,2
2022.11.11,4
2022.11.10,5
2022.11.09,7
2022.11.08,9
2022.11.07,6
2022.11.06,2
2022.11.05,2
2022.11.04,21
2022.11.03,50
2022.11.02,40
2022.11.01,6
2022.10.31,20
2022.10.28,2
2022.10.27,8
2022.10.26,3
2022.10.25,3
2022.10.24,6
2022.10.21,3
2022.10.20,4
2022.10.19,6
2022.10.18,1
2022.10.17,5
2022.10.16,1
2022.10.14,2
2022.10.13,2
2022.10.12,5
2022.10.11,1
2022.10.07,1
2022.10.06,1
2022.10.05,10
2022.10.04,4
2022.10.03,1
2022.09.30,1
2022.09.29,1
2022.09.27,4
2022.09.26,2
2022.09.23,1
2022.09.22,1
2022.09.21,1
2022.09.20,3
2022.09.19,15
2022.09.18,1
2022.09.17,2
2022.09.16,6
2022.09.15,20
2022.09.14,1
2022.09.13,1
2022.09.08,1
2022.09.07,1
2022.09.06,2
2022.09.05,1
2022.09.02,2
2022.09.01,2
2022.08.30,1
2022.08.29,2
2022.08.27,1
2022.08.26,1
2022.08.25,4
2022.08.20,1
2022.08.17,2
2022.08.15,1
2022.08.12,1
2022.08.10,2
2022.08.08,1
2022.08.04,2
2022.08.03,2
2022.08.02,3
2022.08.01,2
2022.07.30,2
2022.07.27,2
2022.07.21,2
2022.07.20,1
2022.07.19,1
2022.07.14,1
2022.07.13,1
2022.07.12,1
2022.07.11,2
2022.07.07,1
2022.07.06,2
2022.07.05,1
2022.07.04,1
2022.07.01,1
2022.06.29,1
2022.06.24,2
2022.06.23,4
2022.06.22,4
2022.06.21,1
2022.06.20,5
2022.06.17,5
2022.06.16,3
2022.06.15,2
2022.06.14,3
2022.06.13,5
2022.06.08,2
2022.06.06,2
2022.06.04,1
2022.06.02,2
2022.05.31,4
2022.05.30,3
2022.05.28,1
2022.05.27,4
2022.05.26,1
2022.05.25,1
2022.05.24,1
2022.05.23,1
2022.05.20,1
2022.05.19,3
2022.05.18,1
2022.05.17,1
2022.05.16,2
2022.05.13,2
2022.05.12,1
2022.05.11,2
2022.05.09,7
2022.05.06,1
2022.05.05,1
2022.05.04,5
2022.05.03,3
2022.05.02,10
2022.04.30,1
2022.04.29,2
2022.04.27,1
2022.04.26,5
2022.04.25,1
2022.04.24,1
2022.04.22,3
2022.04.21,2
2022.04.20,3
2022.04.19,4
2022.04.18,5
2022.04.17,1
2022.04.16,2
2022.04.15,5
2022.04.14,2
2022.04.13,2
2022.04.12,6
2022.04.11,1
2022.04.07,1
2022.04.06,1
2022.04.05,1
2022.04.04,4
2022.04.01,7
2022.03.31,2
2022.03.30,4
2022.03.29,1
2022.03.28,5
2022.03.27,1
2022.03.25,4
2022.03.24,6
2022.03.23,2
2022.03.22,14
2022.03.18,1
2022.03.17,10
2022.03.16,2
2022.03.13,1
2022.03.11,1
2022.03.10,2
2022.03.08,2
2022.03.07,3
2022.03.05,1
2022.03.04,1
2022.03.03,2
2022.03.02,1
2022.02.28,1
2022.02.24,1
2022.02.23,2
2022.02.22,12
2022.02.21,3
2022.02.19,1
2022.02.17,2
2022.02.16,10
2022.02.15,2
2022.02.14,3
2022.02.11,94
2022.02.10,2
2022.02.09,1
2022.02.08,3
2022.02.07,1
2022.02.04,2
2022.02.03,1
2022.02.02,2
2022.01.28,1
2022.01.27,3
2022.01.26,1
2022.01.25,5
2022.01.24,2
2022.01.23,1
2022.01.21,3
2022.01.20,9
2022.01.19,70
2022.01.18,3
2022.01.17,2
2022.01.15,2
2022.01.14,2
2022.01.13,6
2022.01.12,2
2022.01.11,6
2022.01.10,5
2022.01.08,3
2022.01.07,39
2022.01.06,2
2022.01.05,2
2022.01.03,1
2021.12.29,2
2022.01.01,1
2021.12.28,3
2021.12.27,1
2021.12.24,8
2021.12.23,5
2021.12.22,1
2021.12.21,1
2021.12.20,1
2021.12.17,7
2021.12.16,5
2021.12.15,9
2021.12.14,3
2021.12.13,1
2021.12.12,1
2021.12.11,1
2021.12.09,5
2021.12.08,4
2021.12.07,2
2021.12.06,5
2021.12.05,1
2021.12.03,3
2021.12.02,2
2021.12.01,4
2021.11.30,3
2021.11.29,3
2021.11.27,1
2021.11.26,7
2021.11.25,2
2021.11.24,5
2021.11.23,3
2021.11.22,17
2021.11.21,1
2021.11.19,7
2021.11.18,33
2021.11.17,42
2021.11.16,25
2021.11.15,10
2021.11.12,16
2021.11.11,27
2021.11.10,8
2021.11.09,12
2021.11.08,1
2021.11.05,6
2021.11.04,14
2021.11.03,4
2021.11.02,8
2021.11.01,14
2021.10.29,1
2021.10.28,5
2021.10.27,6
2021.10.26,1
2021.10.25,4
2021.10.23,1
2021.10.22,7
2021.10.21,3
2021.10.20,2
2021.10.18,1
2021.10.15,3
2021.10.14,2
2021.10.13,1
2021.10.12,1
2021.10.09,1
2021.10.07,6
2021.10.06,11
2021.10.05,4
2021.10.01,7
