companyName,companyCode,date,postPerDay,tradingPerDay
밸로프,331520,2023.01.30,0.04,0.0
밸로프,331520,2023.01.27,0.06,0.03
밸로프,331520,2023.01.26,0.0,0.01
밸로프,331520,2023.01.25,0.04,0.03
밸로프,331520,2023.01.20,0.02,0.07
밸로프,331520,2023.01.19,0.13,0.09
밸로프,331520,2023.01.18,1.0,1.0
밸로프,331520,2023.01.17,0.05,0.02
밸로프,331520,2023.01.16,0.19,0.22
밸로프,331520,2023.01.13,0.04,0.01
밸로프,331520,2023.01.12,0.15,0.06
밸로프,331520,2023.01.11,0.31,0.06
밸로프,331520,2023.01.10,0.77,0.64
밸로프,331520,2023.01.09,0.07,0.05
밸로프,331520,2023.01.06,0.18,0.02
밸로프,331520,2023.01.05,0.31,0.05
밸로프,331520,2023.01.04,0.53,0.36
밸로프,331520,2023.01.03,0.28,0.75
