웅진,016880,8.086351994145627,-72.47340425531915
SK,034730,13.626584190459207,-2170.092223857165
두산,000150,-0.33364418504762483,-1607.0678129196478
두산우,000155,-0.33364418504762483,-1607.0678129196478
SK우,03473K,13.626584190459207,-2170.092223857165
LX홀딩스1우,38380K,0,0
효성,004800,7.3084491376280765,84.45067127870301
삼성물산,028260,12.907704203565801,48.62090777146296
코오롱,002020,14.139669498646251,101.93452380952381
삼성물산우B,02826K,12.907704203565801,48.62090777146296
코오롱우,002025,14.139669498646251,101.93452380952381
LG,003550,6.057907660178696,35.232168962691155
CJ우,001045,7.018173184680343,16.505487063743455
SK네트웍스,001740,-8.55009860692525,15.764796361163524
LX홀딩스,383800,0,0
LG우,003555,6.057907660178696,35.232168962691155
CJ,001040,7.018173184680343,16.505487063743455
현대그린푸드,005440,7.096324224738885,2.9142882897515725
CJ4우(전환),00104K,7.018173184680343,16.505487063743455
두산2우B,000157,-0.33364418504762483,-1607.0678129196478
SK네트웍스우,001745,-8.55009860692525,15.764796361163524
