companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsRate
이랜텍,054210,12.5413434158425,69.30626842588565
아이엠,101390,-27.64589515331355,-4.054054054054054
에스코넥,096630,-27.229862475442047,87.75510204081633
하이비젼시스템,126700,16.36286494257775,142.22122445721584
신라섬유,001000,0.0,0.0
엘컴텍,037950,-21.645021645021643,-220.00000000000003
덕우전자,263600,18.547140649149924,-6.451612903225806
캠시스,050110,26.591705607476634,-28.749999999999996
이미지스,115610,-5.7894736842105265,-42.1875
시노펙스,025320,-0.7369875633348687,-128.1437125748503
코아시아,045970,-10.480747322852586,-152.1951219512195
에스맥,097780,28.749999999999996,49.532710280373834
유아이엘,049520,-26.85434516523868,-240.4494382022472
영풍,000670,13.687212051196084,-391.1081611539004
엑스큐어,070300,-24.06015037593985,-200.0
와이제이엠게임즈,193250,-25.36945812807882,-228.57142857142856
재영솔루텍,049630,-28.947368421052634,-115.23809523809523
인탑스,049070,13.705377056717667,25.26458465506343
탑엔지니어링,065130,-9.173749904280573,-125.77903682719547
파인테크닉스,106240,32.75996872556685,24.691358024691358
디케이티,290550,2.487414865265028,12.4031007751938
아모센스,357580,0,0
해성옵틱스,076610,-53.623603551990826,-2575.0
이엠앤아이,083470,100.0,-21.875
버킷스튜디오,066410,32.38636363636363,-50.0
바이오로그디바이스,208710,1.5486725663716814,-161.42857142857144
엔피디,198080,3.3176575883786685,-56.025532218738704
알에프텍,061040,-9.349736379613356,-25.190839694656486
서원인텍,093920,6.983050847457626,-9.313725490196079
파트론,091700,-0.5458768625202058,0.0703540569561838
앤디포스,238090,-25.326991676575506,-17.24137931034483
멜파스,096640,-33.94736842105263,-70.0
지나인제약,078650,-38.55243722304284,-1096.875
하이소닉,106080,-46.21212121212121,-68.96551724137932
크루셜텍,114120,-26.881720430107524,-28.1786941580756
파워로직스,047310,-9.705299690652792,-48.72960419598744
이즈미디어,181340,-67.21311475409836,461.5384615384615
유테크,178780,9.60960960960961,-125.0
디스플레이텍,066670,-4.3577981651376145,-40.909090909090914
세경하이테크,148150,-0.579331091216832,213.15551625896455
나무가,190510,0,0
KH바텍,060720,27.59341900460853,214.12108337758897
한일진공,123840,-40.0763358778626,3.571428571428571
에스에이티,060540,-10.699001426533524,-38.0
블루콤,033560,87.06293706293707,-65.28925619834712
코아시아옵틱스,196450,-9.164733178654293,-565.5172413793103
상신이디피,091580,32.11210784096402,62.971805408353625
장원테크,174880,-49.57805907172996,400.0
성우전자,081580,-4.128053917438922,-7.8431372549019605
케스피온,079190,-52.951096121416526,-715.3846153846155
슈피겐코리아,192440,15.549812336628706,16.349048200634503
노바텍,285490,72.61912924646916,148.5406216275434
에이치앤비디자인,227100,15.59633027522936,31.70731707317073
액트로,290740,22.727272727272727,-71.53846153846153
파인엠텍,441270,0,0
아모텍,052710,-3.85588440869132,46.04868107580584
우주일렉트로,065680,2.7225130890052354,9.433962264150944
와이솔,122990,-1.9960459097289538,-76.16047863463615
이엠텍,091120,5.480984340044743,-137.5
SBW생명과학,151910,8.365019011406844,-104.05405405405406
와이팜,332570,-70.17543859649122,-130.83333333333334
씨유테크,376290,0,0
하인크코리아,373200,0,0
케일럼,258610,-43.90243902439025,-616.6666666666667
엠씨넥스,097520,-3.1617555840500167,-48.453544315432936
드림텍,192650,70.57352152939075,-6.229508196721312
유티아이,179900,-5.54675118858954,-87.3015873015873
