companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsRate
카나리아바이오,016790,-9.052453468697124,-108.19672131147541
CJ제일제당,097950,10.566266474029836,26.423412807581798
사조씨푸드,014710,-38.521066208082544,11.34020618556701
CJ씨푸드,011150,-0.13404825737265416,8.108108108108109
팜스코,036580,14.49785407725322,96.53465346534654
SPC삼립,005610,10.238334709937561,24.943065882210576
마니커,027740,-11.129499379395945,106.0
케이씨피드,025880,2.177293934681182,-182.35294117647058
푸드웰,005670,-4.586518415566365,-27.906976744186046
롯데지주,004990,16.82784970409523,54.04562130183181
대상,001680,11.523180804771457,6.074289386395848
남양유업,003920,-7.945285215366706,-19275.0
오리온,271560,11.456742627160367,12.329822886643823
크라운해태홀딩스우,005745,2.0674405749032614,6.0546875
한일사료,005860,-3.46433770014556,-22.727272727272727
조흥,002600,14.095335725269093,-4.0650406504065035
크라운제과우,26490K,-1.3191929643041904,-11.320754716981133
서울식품,004410,-0.8051529790660225,75.0
선진,136490,32.94871794871795,168.32917705735662
이지홀딩스,035810,-0.40869403678246335,12.980769230769232
오뚜기,007310,10.061523837070071,9.319576127277308
CJ제일제당 우,097955,10.566266474029836,26.423412807581798
큐로홀딩스,051780,32.17054263565892,-75.0
빙그레,005180,12.992418098413808,-0.7443743378827321
오리온홀딩스,001800,8.409393420802434,15.710536182977128
대한제당,001790,0.8385918299568249,56.949152542372886
우리손에프앤지,073560,5.284191829484902,215.68627450980392
엠에스씨,009780,0,0
사조오양,006090,4.464285714285714,18.141592920353983
마니커에프앤지,195500,-7.515030060120241,-15.909090909090908
윙입푸드,900340,16.93548387096774,-8.947368421052632
동우팜투테이블,088910,2.0694752402069474,-179.06976744186048
신라에스지,025870,-29.86577181208054,-85.71428571428571
한성기업,003680,-1.480932987782303,-177.10843373493975
HLB글로벌,003580,18.0,-349.1228070175439
삼양사우,145995,-2.127456592253387,36.76470588235294
보락,002760,6.094182825484765,-83.33333333333334
삼양사,145990,-2.127456592253387,36.76470588235294
풀무원,017810,7.062730841656241,28.656833835861963
교촌에프앤비,339770,11.760241878068937,-14.418719821715982
대상홀딩스,084690,5.6805066854327935,33.11897106109325
서울식품우,004415,-0.8051529790660225,75.0
이지바이오,353810,0,0
우양,103840,12.892281594571669,8.333333333333332
한탑,002680,-16.16052060737527,32.05128205128205
인산가,277410,17.760617760617762,42.5
사조산업,007160,-15.433777536034812,20.32967032967033
동원F&B,049770,10.161827518681216,6.53650294488398
롯데지주우,00499K,16.82784970409523,54.04562130183181
동원수산,030720,-11.341463414634147,-113.90728476821192
사조동아원,008040,-5.9679767103347885,28.000000000000004
메지온,140410,59.77653631284916,-69.63562753036437
팜스토리,027710,10.838117106773822,111.53846153846155
해태제과식품,101530,4.561468570368997,21.942446043165468
대주산업,003310,1.0676156583629894,66.66666666666666
하림,136480,11.118004715225215,-114.0552995391705
고려산업,002140,-1.0389610389610389,58.620689655172406
대한제당우,001795,0.8385918299568249,56.949152542372886
매일유업,267980,6.294110657167288,-7.344454229107439
대한제분,001130,3.8869257950530036,-2.127659574468085
대상홀딩스우,084695,5.6805066854327935,33.11897106109325
농심홀딩스,072710,8.7385876653624,79.1767554479419
동서,026960,-2.453502176493866,8.413461538461538
남양유업우,003925,-7.945285215366706,-19275.0
사조대림,003960,29.209596149507405,-0.4032258064516129
롯데제과,280360,17.291171966290474,2.6452966511714218
크라운제과,264900,-1.3191929643041904,-11.320754716981133
샘표식품,248170,13.568376068376068,38.064516129032256
에스앤디,260970,15.7174384511088,22.42749199270939
농심,004370,9.967303840169402,21.13141534702291
대상우,001685,11.523180804771457,6.074289386395848
삼양식품,003230,20.231239424623933,14.312049470795463
하림지주,003380,0,0
신라교역,004970,0.7305194805194805,16.666666666666664
크라운해태홀딩스,005740,2.0674405749032614,6.0546875
엠피대산,065150,-57.506824385805274,196.0
에이치피오,357230,0,0
체리부로,066360,0.5306799336650083,77.24137931034483
매일홀딩스,005990,4.456877042997235,-1.1848341232227488
미래생명자원,218150,-5.189620758483033,-6.666666666666667
동원산업,006040,6.5123387758145075,58.316115702479344
한국맥널티,222980,14.719626168224298,57.14285714285714
CJ씨푸드1우,011155,-0.13404825737265416,8.108108108108109
샘표,007540,13.558718861209965,39.32203389830509
우성,006980,14.025821596244132,-225.0
정다운,208140,-1.4308426073131957,-137.5
푸드나무,290720,80.8641975308642,20.0
오에스피,368970,0,0
