companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsRate
다우데이타,032190,56.1587982832618,88.78354203935599
다우기술,023590,63.10221241987731,100.07881773399015
대신증권,003540,6.352208254533319,113.83558641146624
현대차증권,001500,17.285674392627758,19.308943089430894
DB금융투자,016610,59.012096774193544,56.2929061784897
미래에셋증권,006800,0,16.646672601986776
다올투자증권,030210,39.32318992654774,77.33333333333333
한양증권,001750,53.704896907216494,0
교보증권,030610,21.65140141863508,23.731884057971016
대신증권우,003545,6.352208254533319,113.83558641146624
NH투자증권,005940,0,13.75114443087461
한화투자증권,003530,75.19093686354378,-10.63449508489723
미래에셋증권2우B,00680K,0,16.646672601986776
한국금융지주,071050,53.293474325290354,7.839914741622745
대신증권2우B,003547,6.352208254533319,113.83558641146624
부국증권,001270,41.950819672131146,114.44444444444444
이베스트투자증권,078020,84.27823210511808,117.7304964539007
삼성증권,016360,0,25.331887810825027
유화증권우,003465,0.0,-25.806451612903224
유진투자증권,001200,50.56823999180915,74.05498281786942
신영증권우,001725,11.302383548839384,1489.5061728395062
한양증권우,001755,53.704896907216494,0
미래에셋증권우,006805,0,16.646672601986776
NH투자증권우,005945,0,13.75114443087461
한국금융지주우,071055,53.293474325290354,7.839914741622745
유안타증권우,003475,26.83647621728117,70.75208913649024
코리아에셋투자증권,190650,-26.706367384333486,73.40425531914893
신영증권,001720,11.302383548839384,1489.5061728395062
유안타증권,003470,26.83647621728117,70.75208913649024
부국증권우,001275,41.950819672131146,114.44444444444444
상상인증권,001290,6.432748538011696,-153.7037037037037
유화증권,003460,0.0,-25.806451612903224
키움증권,039490,0,28.563630896066826
한화투자증권우,003535,75.19093686354378,-10.63449508489723
메리츠증권,008560,39.38938602823901,14.80129226006378
SK증권,001510,86.02326426753908,-42.523364485981304
메리츠금융지주,138040,27.584460746310796,31.40087436346478
SK증권우,001515,86.02326426753908,-42.523364485981304
