연우,115960,-14.731839782756278,-28.888888888888886
락앤락,115390,3.292181069958848,18.930041152263374
승일,049830,-2.781844802342606,-121.42857142857142
대림제지,017650,21.529745042492916,177.96610169491524
아세아제지,002310,4.858821843199083,-7.59493670886076
삼보판지,023600,9.91825613079019,2.62582056892779
대륙제관,004780,7.551951343132286,86.90476190476191
신대양제지,016590,-5.813234384662956,-31.784582893347412
삼양패키징,272550,-2.0777836973894512,25.721153846153843
동원시스템즈,014820,0,0
신풍,002870,-78.45761631612493,-191.2280701754386
대영포장,014160,-3.4801925212884117,-64.92537313432835
삼륭물산,014970,-2.029312288613303,25.0
태림포장,011280,-1.9026008029324488,-54.32692307692307
세하,027970,6.640405177265054,49.645390070921984
NPC우,004255,-5.104510451045105,4.545454545454546
대양제지,006580,-17.501927525057827,-69.1131498470948
한창제지,009460,-5.4575523704520394,57.798165137614674
한국수출포장,002200,-2.503681885125184,-43.523316062176164
아세아,002030,-0.991960580912863,-7.196969696969697
엠투엔,033310,-24.516129032258064,-575.0
한국팩키지,037230,-3.2534246575342465,-23.076923076923077
펌텍코리아,251970,12.200684150513112,1.858736059479554
동원시스템즈우,014825,0,0
원림,005820,-13.527180783817952,28.57142857142857
NPC,004250,-5.104510451045105,4.545454545454546
삼화왕관,004450,20.948275862068964,4.395604395604396
리더스코스메틱,016100,-1.9874476987447698,-57.9136690647482
세림B&G,340440,0,0
율촌화학,008730,2.783260955388867,3.488372093023256
금비,008870,4.240766073871409,50.0
