companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsRate
금강공업우,014285,-8.695652173913043,-157.69230769230768
TKG애강,022220,-17.366946778711483,-46.07843137254902
삼목에스폼,018310,-19.209431345353675,-211.40350877192984
국영지앤엠,006050,-11.78082191780822,-310.0
대림통상,006570,-14.705882352941178,176.0
대림B&Co,005750,-1.6920473773265652,-58.536585365853654
윈하이텍,192390,-10.520094562647754,54.71698113207547
와토스코리아,079000,0.0,-60.0
베노홀딩스,206400,-41.25,-70.37037037037037
뉴보텍,060260,1.9138755980861244,-454.54545454545456
덕신하우징,090410,-17.315436241610737,-415.3846153846154
프럼파스트,035200,-14.285714285714285,0.0
금강공업,014280,-8.695652173913043,-157.69230769230768
제일테크노스,038010,-18.50299401197605,-151.0204081632653
