companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsRate
티케이케미칼,104480,-30.84729381443299,-316.66666666666663
SK케미칼,285130,7.718573097313325,277.18446601941747
대한화섬,003830,-23.90542907180385,-38.775510204081634
경인양행,012610,-8.221850613154961,-85.59322033898306
석경에이티,357550,4.6875,7.6923076923076925
케이디켐,221980,-2.663934426229508,-3.125
AK홀딩스,006840,-30.309881633195907,-268.7738004569688
한솔케미칼,014680,18.25427000938922,21.795476404921505
카프로,006380,-42.13993639254884,25.52742616033755
SK케미칼우,28513K,7.718573097313325,277.18446601941747
진양홀딩스,100250,-6.125166444740346,-10.077519379844961
아셈스,136410,16.87236967123115,27.963391937910824
포스코케미칼,003670,36.982310795741654,53.259316899832264
케이피엠테크,042040,30.508474576271187,-16.666666666666664
미창석유,003650,-14.24158171146123,6.857142857142858
미원화학,134380,3.555268261150614,4.516129032258064
LG화학우,051915,25.12990886294347,87.81243534097
육일씨엔에쓰,191410,24.025974025974026,86.95652173913044
에코프로에이치엔,383310,0,0
성보화학,003080,23.389021479713605,-15.909090909090908
금호석유,011780,22.956879720814545,92.84582658524583
KPX홀딩스,092230,-2.004729104554333,24.76340694006309
나노브릭,286750,11.538461538461538,-106.66666666666667
미원에스씨,268280,-1.5612595924847845,5.579399141630901
진양폴리,010640,5.698005698005698,-29.03225806451613
한국알콜,017890,27.55662319835278,69.48640483383686
KPX케미칼,025000,-2.481389578163772,32.438016528925615
태광산업,003240,-23.00614853806343,-72.13541666666666
효성오앤비,097870,2.7303754266211606,-20.0
동성화인텍,033500,20.836829554814546,1.4645701518993572
유니드,014830,1.7481718464351006,13.443396226415095
경농,002100,9.142857142857142,64.36781609195403
동방아그로,007590,3.932584269662921,19.230769230769234
금양,001570,2.026635784597568,-34.78260869565217
에스폴리텍,050760,0.14814814814814814,-4.697986577181208
삼양홀딩스,000070,-0.6991882986418066,114.48362720403023
레이크머티리얼즈,281740,55.543937290863994,160.84913989631843
코오롱인더,120110,7.23259740690087,16.819086022788973
인바이오,352940,2.6706231454005933,-6.8181818181818175
DL,000210,54.624503892986816,47.44490540695773
효성첨단소재,298050,12.514316845153614,357.8805455418813
미원홀딩스,107590,53.397027600849256,179.4871794871795
롯데정밀화학,004000,26.45104645883623,41.45433151383404
한농화성,011500,1.7586712261846604,14.166666666666666
한일화학,007770,-20.14719411223551,-34.78260869565217
후성,093370,0,0
PI첨단소재,178920,9.248200424646624,24.52754250580337
KBG,318000,7.027027027027027,13.333333333333334
전진바이오팜,110020,0.0,-5.0
씨큐브,101240,-17.225950782997764,-46.75324675324675
레몬,294140,61.16700201207244,-305.0632911392405
KCI,036670,5.316091954022988,-2.7586206896551726
나노씨엠에스,247660,5.0,0.0
TKG휴켐스,069260,26.060892943473988,6.9958796095920635
삼양홀딩스우,000075,-0.6991882986418066,114.48362720403023
삼영무역,002810,43.10722100656455,143.47826086956522
원풍,008370,0.9602194787379973,88.88888888888889
금호석유우,011785,22.956879720814545,92.84582658524583
영보화학,014440,-18.140243902439025,-47.61904761904761
동남합성,023450,-0.9516256938937351,37.755102040816325
HRS,036640,1.0494752623688157,543.75
LG화학,051910,25.12990886294347,87.81243534097
녹원씨엔아이,065560,-69.18138041733548,-124.13793103448276
에코프로,086520,119.25815309361435,223.71386915636893
켐트로닉스,089010,31.350681536555143,-15.96958174904943
나노캠텍,091970,-8.842105263157894,-89.1566265060241
효성화학,298000,18.02709484159537,-75.68495080584118
코오롱플라스틱,138490,19.145792603358725,202.32175108975778
WISCOM,024070,-11.255411255411255,-312.5
그린케미칼,083420,4.527813712807244,88.46153846153845
코오롱인더우,120115,7.23259740690087,16.819086022788973
애경케미칼,161000,-10.62930186823992,22.60127931769723
태경케미컬,006890,12.679425837320574,541.6666666666667
오공,045060,-0.7241606319947334,11.235955056179774
DL우,000215,54.624503892986816,47.44490540695773
파미셀,005690,27.400499328462658,116.15009746588693
미원상사,002840,18.0,32.81733746130031
남해화학,025860,-14.942722371967655,72.54901960784314
와이오엠,066430,-9.142857142857142,44.44444444444444
대정화금,120240,0.7537688442211055,-2.8846153846153846
유니드비티플러스,446070,0,0
크리스탈신소재,900250,7.328605200945626,9.12280701754386
한화솔루션,009830,12.575289565745939,34.2091430267507
