미래반도체,254490,0.14,0.24
하이딥,365590,0.14,0.24
넥스트칩,396270,0.14,0.24
더코디,224060,0.42,0.26
알에프세미,096610,0.1,1.0
다믈멀티미디어,093640,0.08,0.21
큐에스아이,066310,0.14,0.24
피에스엠씨,024850,0.14,0.31
이오테크닉스,039030,0.2,0.3
유니테스트,086390,0.1,0.19
바이옵트로,222160,0.19,0.06
디엔에프,092070,0.14,0.24
에이피티씨,089970,0.25,0.27
아진엑스텍,059120,0.19,0.29
로체시스템즈,071280,0.22,0.27
레이저쎌,412350,0.14,0.24
케이씨텍,281820,0.14,0.24
미래산업,025560,0.24,0.2
지앤비에스엔지니어링,382800,0.14,0.24
어보브반도체,102120,0.17,0.25
성우테크론,045300,0.17,0.27
가온칩스,399720,0.14,0.24
에스티아이,039440,0.16,0.25
오킨스전자,080580,0.17,0.23
엔시트론,101400,0.14,0.23
영창케미칼,112290,0.14,0.24
러셀,217500,0.11,0.23
샘씨엔에스,252990,0.28,0.42
제이아이테크,417500,0.14,0.24
해성디에스,195870,0.2,0.27
오디텍,080520,0.14,0.24
싸이맥스,160980,0.36,0.56
테스,095610,0.19,0.27
인텍플러스,064290,0.24,0.27
엘오티베큠,083310,0.21,0.24
비케이홀딩스,050090,0.16,0.0
케이씨,029460,0.17,0.25
삼성전자,005930,0.16,0.25
삼성전자우,005935,0.16,0.25
윈팩,097800,0.17,0.23
제주반도체,080220,0.17,0.25
티엘비,356860,0.17,0.26
DB하이텍1우,000995,0.2,0.26
엠케이전자,033160,0.18,0.24
SK스퀘어,402340,0.34,0.25
서플러스글로벌,140070,0.14,0.24
유니트론텍,142210,0.15,0.23
티에프이,425420,0.14,0.24
제너셈,217190,0.16,0.2
시그네틱스,033170,0.12,0.23
아이윈플러스,123010,0.24,0.23
엑시콘,092870,0.14,0.24
미코,059090,0.18,0.25
예스티,122640,0.19,0.21
알파홀딩스,117670,0.12,0.27
픽셀플러스,087600,0.16,0.21
엔투텍,227950,0.04,0.27
한국전자홀딩스,006200,0.14,0.21
유니퀘스트,077500,0.2,0.27
테크윙,089030,0.17,0.25
티에스이,131290,0.19,0.26
GST,083450,0.2,0.26
라온테크,232680,0.23,0.18
에이팩트,200470,0.15,0.23
램테크놀러지,171010,0.14,0.23
마이크로컨텍솔,098120,0.17,0.3
한미반도체,042700,0.24,0.29
칩스앤미디어,094360,0.13,0.23
아이텍,119830,0.13,0.25
씨앤지하이테크,264660,0.13,0.24
피델릭스,032580,0.15,0.43
지니틱스,303030,0.09,0.22
DB하이텍,000990,0.2,0.26
디아이,003160,0.24,0.19
네패스,033640,0.13,0.21
유니셈,036200,0.18,0.25
에프에스티,036810,0.21,0.25
KX하이텍,052900,0.19,0.25
제이티,089790,0.18,0.25
에이디테크놀로지,200710,0.2,0.24
엔지스테크널러지,208860,1.0,0.17
시스웍,269620,0.2,0.21
저스템,417840,0.14,0.24
텔레칩스,054450,0.16,0.21
한양디지텍,078350,0.41,0.18
젬백스,082270,0.25,0.21
ISC,095340,0.2,0.34
엘비루셈,376190,0.19,0.25
원익QnC,074600,0.24,0.26
마이크로프랜드,147760,0.22,0.16
프로텍,053610,0.04,0.22
SFA반도체,036540,0.16,0.25
타이거일렉,219130,0.19,0.33
메카로,241770,0.14,0.21
네패스아크,330860,0.23,0.26
주성엔지니어링,036930,0.26,0.17
HPSP,403870,0.32,0.27
오션브릿지,241790,0.18,0.25
신성이엔지,011930,0.17,0.35
유진테크,084370,0.18,0.26
오픈엣지테크놀로지,394280,0.14,0.24
아이앤씨,052860,0.04,0.17
비씨엔씨,146320,0.21,0.28
네오셈,253590,0.14,0.24
테크엘,064520,0.06,0.22
하나마이크론,067310,0.16,0.24
와이아이케이,232140,0.63,0.15
원익홀딩스,030530,0.23,0.25
에이티세미콘,089530,0.14,0.09
지오엘리먼트,311320,0.14,0.24
SK하이닉스,000660,0.18,0.26
네온테크,306620,0.21,0.24
엑사이엔씨,054940,0.13,0.22
케이엔더블유,105330,0.0,0.28
덕산하이메탈,077360,0.25,0.24
엘비세미콘,061970,0.16,0.24
동운아나텍,094170,0.14,0.13
KEC,092220,0.16,0.11
피에스케이홀딩스,031980,0.21,0.2
티씨케이,064760,0.19,0.25
리노공업,058470,0.19,0.25
동진쎄미켐,005290,0.17,0.25
제우스,079370,0.17,0.25
한솔아이원스,114810,0.18,0.07
솔브레인,357780,0.14,0.24
넥스틴,348210,0.5,0.15
티엘엔지니어링,413300,0.14,0.24
코세스,089890,0.13,0.25
월덱스,101160,0.2,0.25
코미코,183300,0.18,0.25
원익IPS,240810,0.18,0.26
피에스케이,319660,0.24,0.27
하나머티리얼즈,166090,0.19,0.25
뉴파워프라즈마,144960,0.3,0.3
매커스,093520,0.24,0.27
두산테스나,131970,0.22,0.25
큐알티,405100,0.14,0.24
오로스테크놀로지,322310,0.07,0.22
어반리튬,073570,0.15,0.23
에스앤에스텍,101490,0.15,0.24
티이엠씨,425040,0.4,0.29
