companyName,companyCode,companyDate,postsPerDay,volumePerDay
썸에이지,208640,2023.01.30,0.0,0.05
썸에이지,208640,2023.01.27,0.03,0.05
썸에이지,208640,2023.01.26,0.11,0.07
썸에이지,208640,2023.01.25,0.15,0.19
썸에이지,208640,2023.01.20,0.0,0.01
썸에이지,208640,2023.01.19,0.07,0.03
썸에이지,208640,2023.01.18,0.07,0.04
썸에이지,208640,2023.01.17,0.01,0.05
썸에이지,208640,2023.01.16,0.06,0.11
썸에이지,208640,2023.01.13,0.0,0.04
썸에이지,208640,2023.01.12,0.04,0.09
썸에이지,208640,2023.01.11,0.45,0.92
썸에이지,208640,2023.01.10,0.07,0.06
썸에이지,208640,2023.01.09,0.08,0.03
썸에이지,208640,2023.01.06,0.06,0.04
썸에이지,208640,2023.01.05,0.15,0.06
썸에이지,208640,2023.01.04,0.23,0.12
썸에이지,208640,2023.01.03,0.17,0.05
썸에이지,208640,2023.01.02,0.07,0.08
썸에이지,208640,2022.12.29,0.31,0.69
썸에이지,208640,2022.12.28,0.35,0.05
썸에이지,208640,2022.12.27,0.27,0.02
썸에이지,208640,2022.12.26,0.42,0.01
썸에이지,208640,2022.12.23,0.38,0.06
썸에이지,208640,2022.12.22,0.14,0.02
썸에이지,208640,2022.12.21,0.14,0.02
썸에이지,208640,2022.12.20,0.21,0.06
썸에이지,208640,2022.12.19,0.08,0.02
썸에이지,208640,2022.12.16,0.11,0.01
썸에이지,208640,2022.12.15,0.01,0.01
썸에이지,208640,2022.12.14,0.07,0.03
썸에이지,208640,2022.12.13,0.07,0.01
썸에이지,208640,2022.12.12,0.14,0.06
썸에이지,208640,2022.12.09,0.13,0.02
썸에이지,208640,2022.12.08,0.23,0.03
썸에이지,208640,2022.12.07,0.13,0.02
썸에이지,208640,2022.12.06,0.03,0.01
썸에이지,208640,2022.12.05,0.06,0.06
썸에이지,208640,2022.12.02,0.1,0.0
썸에이지,208640,2022.12.01,0.13,0.02
썸에이지,208640,2022.11.30,0.08,0.0
썸에이지,208640,2022.11.29,0.11,0.04
썸에이지,208640,2022.11.28,0.15,0.06
썸에이지,208640,2022.11.25,0.31,0.15
썸에이지,208640,2022.11.24,0.58,0.82
썸에이지,208640,2022.11.23,0.27,0.09
썸에이지,208640,2022.11.22,0.07,0.01
썸에이지,208640,2022.11.21,0.08,0.03
썸에이지,208640,2022.11.18,0.07,0.01
썸에이지,208640,2022.11.17,0.11,0.02
썸에이지,208640,2022.11.16,0.11,0.04
썸에이지,208640,2022.11.15,0.18,0.05
썸에이지,208640,2022.11.14,0.14,0.04
썸에이지,208640,2022.11.11,0.3,0.05
썸에이지,208640,2022.11.10,0.14,0.03
썸에이지,208640,2022.11.09,0.25,0.07
썸에이지,208640,2022.11.08,0.18,0.03
썸에이지,208640,2022.11.07,0.27,0.05
썸에이지,208640,2022.11.04,0.63,0.11
썸에이지,208640,2022.11.03,0.23,0.06
썸에이지,208640,2022.11.02,0.49,0.11
썸에이지,208640,2022.11.01,0.44,0.04
썸에이지,208640,2022.10.31,0.73,0.12
썸에이지,208640,2022.10.28,0.79,0.18
썸에이지,208640,2022.10.27,0.58,0.15
썸에이지,208640,2022.10.26,1.0,0.38
썸에이지,208640,2022.10.25,0.61,0.09
썸에이지,208640,2022.10.24,0.8,0.16
썸에이지,208640,2022.10.21,0.24,1.0
