companyName,companyCode,companyDate,postsPerDay,volumePerDay
데브시스터즈,194480,2023.01.30,0.37,0.29
데브시스터즈,194480,2023.01.27,0.36,0.25
데브시스터즈,194480,2023.01.26,0.54,0.77
데브시스터즈,194480,2023.01.25,0.53,0.25
데브시스터즈,194480,2023.01.20,0.36,0.26
데브시스터즈,194480,2023.01.19,0.6,0.44
데브시스터즈,194480,2023.01.18,0.91,0.55
데브시스터즈,194480,2023.01.17,0.4,0.31
데브시스터즈,194480,2023.01.16,0.85,0.59
데브시스터즈,194480,2023.01.13,0.5,0.48
데브시스터즈,194480,2023.01.12,0.35,0.22
데브시스터즈,194480,2023.01.11,0.57,0.52
데브시스터즈,194480,2023.01.10,0.56,1.0
데브시스터즈,194480,2023.01.09,0.52,0.37
데브시스터즈,194480,2023.01.06,0.8,0.57
데브시스터즈,194480,2023.01.05,1.0,0.78
