companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
한컴위드,054920,1.0,1
라온피플,300120,1,0.28
지슨,289860,0.35,0.36
브레인즈컴퍼니,099390,0.44,0.44
코난테크놀로지,402030,0.35,0.36
이노룰스,296640,0.35,0.36
알체라,347860,0.62,0.43
이스트소프트,047560,0.5,0.19
핀텔,291810,0.35,0.36
소프트캠프,258790,0.32,0.33
바이브컴퍼니,301300,0.74,0.88
링크제니시스,219420,0.44,0.45
오비고,352910,0.35,0.36
한글과컴퓨터,030520,0.31,0.36
엠로,058970,0.35,0.36
엑셈,205100,0.35,0.36
에스에스알,275630,0.21,0.26
라온시큐어,042510,0.5,0.22
영림원소프트랩,060850,0.45,0.36
파수,150900,0.44,0.29
핸디소프트,220180,0.01,0.29
플랜티넷,075130,0.36,0.33
더존비즈온,012510,0.39,0.35
비트나인,357880,0.35,0.36
비플라이소프트,148780,0.35,0.36
세중,039310,0.25,0.33
아이퀘스트,262840,0.39,0.41
케이사인,192250,0.59,0.37
이글루,067920,0.35,0.36
폴라리스오피스,041020,0.3,0.37
포시에스,189690,0.41,0.35
지니언스,263860,0.35,0.36
아톤,158430,0.28,0.33
스코넥,276040,0.35,0.36
모아데이타,288980,0.75,0.38
지란지교시큐리티,208350,0.32,0.3
알티캐스트,085810,0.4,0.29
네오리진,094860,0.24,0.02
인지소프트,100030,0.25,0.35
휴네시온,290270,0.59,0.38
디모아,016670,0.47,0.35
텔코웨어,078000,0.26,0.31
비즈니스온,138580,0.65,0.37
키네마스터,139670,0.71,1.0
MDS테크,086960,0.31,0.35
디어유,376300,0.35,0.36
위세아이텍,065370,0.53,0.37
시큐브,131090,0.22,0.35
맥스트,377030,0.8,0.38
미디어젠,279600,0.26,0.32
디지캡,197140,0.61,0.46
알서포트,131370,0.78,0.47
오상자이엘,053980,0.3,0.42
네이블,153460,0.32,0.26
누리플렉스,040160,0.17,0.32
윈스,136540,0.45,0.37
웹케시,053580,0.44,0.37
이니텍,053350,0.36,0.33
SGA솔루션즈,184230,0.28,0.28
안랩,053800,0.39,0.36
투비소프트,079970,0.31,0.31
SGA,049470,0.32,0.29
산돌,419120,0.35,0.36
