companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
세토피아,222810,1,0.2
세아메카닉스,396300,0.13,0.21
풍산,103140,0.21,0.25
디씨엠,024090,0.18,0.2
케이피티유,054410,0.16,0.22
현대비앤지스틸,004560,0.11,0.21
동국알앤에스,075970,0.1,0.22
일야,058450,1.0,1.0
이구산업,025820,0.12,0.56
국일신동,060480,0.09,0.19
황금에스티,032560,0.13,0.22
쎄니트,037760,0.08,0.16
DSR,155660,0.13,0.22
대양금속,009190,0.11,0.18
피제이메탈,128660,0.1,0.23
풍산홀딩스,005810,0.21,0.33
한국내화,010040,0.1,0.19
대창,012800,0.15,0.24
아이티센,124500,0.31,0.19
한창산업,079170,0.08,0.21
태경산업,015890,0.07,0.23
서원,021050,0.05,0.21
대호에이엘,069460,0.15,0.06
티플랙스,081150,0.14,0.22
파버나인,177830,0.22,0.1
조선내화,000480,0.11,0.21
삼보산업,009620,0.11,0.22
알루코,001780,0.17,0.25
일진다이아,081000,0.14,0.2
포스코스틸리온,058430,0.13,0.24
고려아연,010130,0.2,0.21
태경비케이,014580,0.09,0.28
제일연마,001560,0.1,0.19
조일알미늄,018470,0.16,0.18
남선알미늄,008350,0.07,0.17
남선알미우,008355,0.07,0.17
코센,009730,0.01,0.24
현대비앤지스틸우,004565,0.11,0.21
EG,037370,0.01,1
삼아알미늄,006110,0.15,0.22
