companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
범양건영,002410,0.1,0.48
일성건설,013360,0.2,0.51
KD,044180,0.04,0.32
우원개발,046940,0.24,0.51
화성산업,002460,0.2,0.51
신원종합개발,017000,0.09,0.44
플래스크,041590,0.6,0.4
자이에스앤디,317400,0.29,0.53
현대건설,000720,0.24,0.48
희림,037440,0.26,0.5
계룡건설,013580,0.21,0.5
SGC이테크건설,016250,0.22,0.48
태영건설,009410,0.16,0.47
HDC현대산업개발,294870,0.19,0.49
진흥기업2우B,002787,0.14,0.45
동부건설우,005965,0.22,0.47
남광토건,001260,0.22,0.64
DL건설,001880,0.26,0.48
그린플러스,186230,0.22,0.48
유신,054930,0.29,0.39
HJ중공업,097230,0.23,0.45
이화공영,001840,0.25,1.0
동부건설,005960,0.22,0.47
금호건설,002990,0.24,0.49
아이에스동서,010780,0.33,0.54
삼성엔지니어링,028050,0.26,0.49
성도이엔지,037350,0.16,0.48
삼호개발,010960,0.22,0.45
현대건설우,000725,0.24,0.48
신세계건설,034300,0.21,0.47
대원,007680,0.18,0.44
DL이앤씨우,37550K,0.22,0.48
서한,011370,0.19,0.5
HDC랩스,039570,0.23,0.49
DL이앤씨2우(전환),37550L,0.22,0.48
한신공영,004960,0.2,0.46
태영건설우,009415,0.16,0.47
HL D&I,014790,0.23,0.47
서희건설,035890,0.23,0.52
한미글로벌,053690,0.17,0.46
대우건설,047040,0.23,0.5
GS건설,006360,0.23,0.47
세보엠이씨,011560,0.23,0.35
특수건설,026150,0.23,0.7
도화엔지니어링,002150,0.25,0.47
국보디자인,066620,0.24,0.57
진흥기업우B,002785,0.14,0.45
이엔코퍼레이션,066980,0.17,0.42
하이드로리튬,101670,0.22,0.51
웰크론,065950,0.19,0.87
CNT85,056730,0.0,0.51
코오롱글로벌,003070,0.25,0.5
DL이앤씨,375500,0.22,0.48
삼부토건,001470,0.39,0.29
코오롱글로벌우,003075,0.25,0.5
일진파워,094820,0.2,0.47
한국종합기술,023350,0.3,0.19
동아지질,028100,0.18,0.42
동신건설,025950,0.34,0.0
금호건설우,002995,0.24,0.49
KCC건설,021320,0.22,0.48
금화피에스시,036190,0.23,0.48
진흥기업,002780,0.14,0.45
한양이엔지,045100,0.22,0.53
삼일기업공사,002290,0.18,0.46
동원개발,013120,0.22,0.54
까뮤이앤씨,013700,0.11,0.42
셀루메드,049180,1.0,0.39
HDC,012630,0.59,0.72
웰크론한텍,076080,0.16,0.36
KH 건설,226360,0.36,0.46
삼강엠앤티,100090,0.28,0.47
우진아이엔에스,010400,0.3,0.56
KT서브마린,060370,0.21,0.1
상지카일룸,042940,0.02,0.02
남화토건,091590,0.32,0.61
에쓰씨엔지니어링,023960,0.04,0.36
