companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
지엔원에너지,270520,0.09,0.88
유니슨,018000,0.12,0.89
SGC에너지,005090,1.0,1.0
제이씨케미칼,137950,0.16,0.89
스페코,013810,0.12,0.9
오르비텍,046120,0.06,0.85
씨에스윈드,112610,0.14,0.89
태웅,044490,0.1,0.87
파루,043200,0.07,0.0
서남,294630,0.11,0.89
비디아이,148140,0.19,0.58
윌링스,313760,0.19,0.87
대한그린파워,060900,0.0,0.89
SDN,099220,0.15,0.88
에코바이오,038870,0.12,0.89
수산인더스트리,126720,0.11,0.89
비에이치아이,083650,0.11,0.89
에스에너지,095910,0.14,0.8
현대에너지솔루션,322000,0.17,0.92
대명에너지,389260,0.11,0.89
