companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
대한제강,084010,0.73,0.73
만호제강,001080,0.54,0.58
조선선재,120030,0.5,0.7
동국제강,001230,0.63,0.73
광진실업,026910,0.54,0.73
세아제강,306200,0.64,0.73
CS홀딩스,000590,0.52,0.7
대창스틸,140520,0.46,0.66
SHD,001770,0.56,0.68
동국산업,005160,0.45,0.69
화인베스틸,133820,0.38,0.81
삼현철강,017480,0.51,0.71
동양에스텍,060380,0.47,0.72
TCC스틸,002710,0.53,0.68
한국철강,104700,0.62,0.74
한국특강,007280,0.57,0.65
세아특수강,019440,0.49,0.68
한국주철관,000970,0.83,0.72
아주스틸,139990,0.61,0.71
세아홀딩스,058650,0.46,0.68
대호특수강,021040,0.36,0.62
현대제철,004020,0.61,1.0
동일제강,002690,0.52,0.67
동일철강,023790,0.43,0.7
세아제강지주,003030,0.63,0.75
세아베스틸지주,001430,0.64,0.0
NI스틸,008260,0.71,0.72
대동스틸,048470,0.5,0.62
한국선재,025550,0.54,0.7
영흥,012160,0.54,0.49
동양철관,008970,0.58,0.73
경남스틸,039240,0.5,0.7
부국철강,026940,0.57,0.84
KG케미칼,001390,1.0,0.73
휴스틸,005010,0.35,0.64
휴먼엔,032860,0.0,0.72
문배철강,008420,0.5,0.7
KISCO홀딩스,001940,0.48,0.72
원일특강,012620,0.51,0.68
동일산업,004890,0.5,0.62
유에스티,263770,0.52,0.72
KG ETS,151860,0.51,0.71
한일철강,002220,0.48,0.69
DSR제강,069730,0.49,0.69
포스코엠텍,009520,0.47,0.7
KG스틸,016380,0.52,0.77
대호특수강우,021045,0.36,0.62
POSCO홀딩스,005490,0.6,0.72
금강철강,053260,0.55,0.72
하이스틸,071090,0.39,0.68
동국S&C,100130,0.54,0.7
신스틸,162300,0.54,0.7
고려제강,002240,0.45,0.69
제이스코홀딩스,023440,0.83,0.71
한국주강,025890,0.5,0.68
