companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
팬젠,222110,0.2,0.49
펩트론,087010,0.16,0.59
쎌바이오텍,049960,0.08,0.51
아시아종묘,154030,0.09,0.71
메디톡스,086900,0.09,0.39
알테오젠,196170,0.08,0.55
툴젠,199800,0.05,0.54
오스코텍,039200,1.0,0.42
제넥신,095700,0.15,0.53
올릭스,226950,0.08,0.55
압타머사이언스,291650,0.03,0.57
신라젠,215600,1,0.5
메디포스트,078160,0.09,0.47
강스템바이오텍,217730,0.14,0.52
서린바이오,038070,0.1,0.72
셀레믹스,331920,0.09,0.54
네이처셀,007390,0.06,0.03
차바이오텍,085660,0.11,0.39
파멥신,208340,0.08,0.85
유바이오로직스,206650,0.07,0.36
셀리버리,268600,0.02,0.57
코오롱티슈진,950160,0.1,0.54
테고사이언스,191420,0.12,1.0
오리엔트바이오,002630,0.12,0.42
아이진,185490,0.06,0.6
진원생명과학,011000,0.08,0.69
바이오니아,064550,0.25,1
바이오솔루션,086820,0.07,0.63
농우바이오,054050,0.09,0.56
바이오에프디엔씨,251120,0.08,0.55
진매트릭스,109820,0.3,0.33
유틸렉스,263050,0.5,0.59
지에프씨생명과학,388610,0.08,0.55
싸이토젠,217330,0.03,0.6
애니젠,196300,0.12,0.46
코아스템켐온,166480,0.09,0.59
셀리드,299660,0.08,0.6
클리노믹스,352770,0.23,0.74
고바이오랩,348150,0.77,0.62
선바이오,067370,0.08,0.55
아미코젠,092040,0.08,0.27
지니너스,389030,0.08,0.55
에이비엘바이오,298380,0.19,0.6
휴젤,145020,0.09,0.56
앱클론,174900,0.0,0.26
티앤알바이오팹,246710,0.52,0.52
헬릭스미스,084990,0.08,0.58
제노포커스,187420,0.11,0.62
케어젠,214370,0.08,0.54
