companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
현대일렉트릭,267260,0.41,1.0
제룡전기,033100,0.34,0.9
효성중공업,298040,0.33,0.92
비츠로테크,042370,0.32,0.9
LS ELECTRIC,010120,0.49,0.91
LS,006260,0.61,0.91
세명전기,017510,0.05,0.88
일진전기,103590,0.41,0.91
가온전선,000500,0.38,0.93
피앤씨테크,237750,0.23,0.89
이화전기,024810,0.26,0.69
서전기전,189860,0.34,0.95
광명전기,017040,0.26,0.89
대원전선,006340,0.23,1.0
선도전기,007610,0.29,0.83
지투파워,388050,1.0,1
대한전선,001440,0.37,0.92
대원전선우,006345,0.23,1.0
제룡산업,147830,0.31,0.93
보성파워텍,006910,1,0.81
제일전기공업,199820,0.38,0.91
범한퓨얼셀,382900,0.31,0.9
일진홀딩스,015860,0.34,0.9
지엔씨에너지,119850,0.28,0.9
비나텍,126340,0.6,0.91
KBI메탈,024840,0.33,0.91
LS전선아시아,229640,0.34,0.9
