companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
티케이케미칼,104480,0.2,0.11
SK케미칼,285130,0.41,0.31
대한화섬,003830,0.24,0.2
경인양행,012610,0.32,0.19
석경에이티,357550,0.39,0.22
케이디켐,221980,0.35,0.21
AK홀딩스,006840,0.21,0.13
한솔케미칼,014680,0.46,0.22
카프로,006380,0.14,0.22
SK케미칼우,28513K,0.41,0.31
진양홀딩스,100250,0.33,0.21
아셈스,136410,0.46,0.22
포스코케미칼,003670,0.56,0.23
케이피엠테크,042040,0.53,0.21
미창석유,003650,0.29,0.22
미원화학,134380,0.39,0.22
LG화학우,051915,0.5,0.24
육일씨엔에쓰,191410,0.49,0.24
에코프로에이치엔,383310,0.37,0.22
성보화학,003080,0.49,0.21
금호석유,011780,0.49,0.25
KPX홀딩스,092230,0.36,0.22
나노브릭,286750,0.43,0.18
미원에스씨,268280,0.36,0.22
진양폴리,010640,0.4,0.21
한국알콜,017890,0.51,0.24
KPX케미칼,025000,0.35,0.23
태광산업,003240,0.25,0.19
효성오앤비,097870,0.38,0.21
동성화인텍,033500,0.48,0.22
유니드,014830,0.38,0.22
경농,002100,0.42,0.24
동방아그로,007590,0.39,0.22
금양,001570,0.38,0.2
에스폴리텍,050760,0.37,0.21
삼양홀딩스,000070,0.36,0.25
레이크머티리얼즈,281740,0.66,0.27
코오롱인더,120110,0.41,0.22
인바이오,352940,0.38,0.21
DL,000210,0.66,0.23
효성첨단소재,298050,0.43,0.33
미원홀딩스,107590,0.65,0.27
롯데정밀화학,004000,0.51,0.23
한농화성,011500,0.38,0.22
한일화학,007770,0.26,0.2
후성,093370,0.37,0.22
PI첨단소재,178920,0.42,0.22
KBG,318000,0.4,0.22
전진바이오팜,110020,0.37,0.21
씨큐브,101240,0.28,0.2
레몬,294140,0.69,0.12
KCI,036670,0.4,0.21
나노씨엠에스,247660,0.39,0.22
TKG휴켐스,069260,0.51,0.22
삼양홀딩스우,000075,0.36,0.25
삼영무역,002810,0.6,0.26
원풍,008370,0.37,0.24
금호석유우,011785,0.49,0.25
영보화학,014440,0.27,0.2
동남합성,023450,0.36,0.23
HRS,036640,0.37,0.39
LG화학,051910,0.5,0.24
녹원씨엔아이,065560,1,0.17
에코프로,086520,1.0,0.29
켐트로닉스,089010,0.53,0.21
나노캠텍,091970,0.32,0.19
효성화학,298000,0.46,0.19
코오롱플라스틱,138490,0.47,0.28
WISCOM,024070,0.31,0.11
그린케미칼,083420,0.39,0.24
코오롱인더우,120115,0.41,0.22
애경케미칼,161000,0.31,0.22
태경케미컬,006890,0.43,0.39
오공,045060,0.36,0.22
DL우,000215,0.66,0.23
파미셀,005690,0.51,0.25
미원상사,002840,0.46,0.23
남해화학,025860,0.29,0.24
와이오엠,066430,0.32,0.23
대정화금,120240,0.37,0.21
유니드비티플러스,446070,0.37,0.22
크리스탈신소재,900250,0.41,0.22
한화솔루션,009830,0.43,0.23
원익큐브,014190,0.35,0.12
동성케미컬,102260,0.38,0.22
롯데케미칼,011170,0.46,0.23
대유,290380,0.44,0.21
SKC,011790,0.46,0.23
웹스,196700,0.37,0.22
켐트로스,220260,0.36,0.2
SH에너지화학,002360,0.19,0.27
OCI,010060,0.51,0.12
이화산업,000760,0.28,0.25
삼영화학,003720,0.4,0.14
스타플렉스,115570,0.23,0.07
엔피케이,048830,0.37,0.19
진양화학,051630,0.35,0.18
나노신소재,121600,0.52,0.27
쎄노텍,222420,0.28,1.0
테이팩스,055490,0.4,0.24
누보,332290,0.37,0.22
GRT,900290,0.4,0.21
코스모신소재,005070,0.53,0.18
진양산업,003780,0.39,0.21
이수화학,005950,0.3,1
한국석유,004090,0.45,0.24
백광산업,001340,0.38,0.2
조비,001550,0.39,0.31
원익머트리얼즈,104830,0.58,0.23
나노,187790,0.31,0.15
이엔에프테크놀로지,102710,0.37,0.22
에코앤드림,101360,0.68,0.24
한화솔루션우,009835,0.43,0.23
코스모화학,005420,0.37,0.22
대한유화,006650,0.39,0.2
국도화학,007690,0.37,0.22
와이엠티,251370,0.47,0.22
피엔에이치테크,239890,0.82,0.19
송원산업,004430,0.47,0.23
