companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
큐리언트,115180,0.02,0.37
SK바이오사이언스,302440,0.09,0.39
씨엔알리서치,359090,0.06,0.31
코오롱생명과학,102940,0.04,0.35
콜마비앤에이치,200130,0.05,0.35
아이큐어,175250,0.07,0.36
초록뱀헬스케어,118000,0.0,0.5
비엘,142760,0.05,0.35
동아에스티,170900,0.04,0.35
녹십자웰빙,234690,0.05,0.34
한국유니온제약,080720,0.04,0.2
경남제약,053950,0.07,0.33
코스맥스엔비티,222040,0.05,0.33
팜젠사이언스,004720,0.04,0.33
일양약품,007570,0.05,0.35
대원제약,003220,0.05,0.35
에스씨엠생명과학,298060,0.07,0.35
비엘팜텍,065170,0.05,0.34
삼성바이오로직스,207940,0.07,0.36
SK바이오팜,326030,0.27,0.34
유유제약2우B,000227,0.05,0.34
비보존 제약,082800,0.04,0.38
에이비온,203400,0.08,0.35
일양약품우,007575,0.05,0.35
휴온스글로벌,084110,0.05,0.35
유한양행우,000105,0.05,0.36
국제약품,002720,0.05,0.35
이연제약,102460,0.04,0.34
신풍제약,019170,0.05,0.35
아미노로직스,074430,0.04,0.3
퓨쳐켐,220100,0.06,0.35
인벤티지랩,389470,0.04,0.35
브릿지바이오테라퓨틱스,288330,0.0,0.0
퓨쳐메디신,341170,0.04,0.35
프레스티지바이오로직스,334970,0.04,0.34
테라젠이텍스,066700,0.05,0.32
노바렉스,194700,0.05,0.35
뉴트리,270870,0.07,0.36
보로노이,310210,1.0,0.34
유한양행,000100,0.05,0.36
HLB제약,047920,0.05,0.34
셀트리온,068270,0.06,0.35
애드바이오텍,179530,0.04,0.35
녹십자,006280,0.05,0.35
보령,003850,0.04,0.35
바이젠셀,308080,0.04,0.35
부광약품,003000,0.04,0.34
HK이노엔,195940,0.05,0.35
에이프로젠 H&G,109960,0.02,0.36
JW홀딩스,096760,0.05,0.4
대한뉴팜,054670,0.05,0.35
팜스빌,318010,0.06,0.34
알리코제약,260660,0.05,0.34
신일제약,012790,0.04,0.34
제일바이오,052670,0.03,0.33
더블유에스아이,299170,0.05,0.35
삼천당제약,000250,0.04,0.34
경동제약,011040,0.04,0.34
셀트리온헬스케어,091990,0.05,0.36
대웅,003090,0.05,0.35
신풍제약우,019175,0.05,0.35
셀트리온제약,068760,0.06,0.35
에이디엠코리아,187660,0.06,0.38
유나이티드제약,033270,0.04,0.35
큐라클,365270,0.04,0.35
안트로젠,065660,0.04,0.35
환인제약,016580,0.05,0.35
지엘팜텍,204840,0.05,0.34
한미약품,128940,0.05,0.35
신신제약,002800,0.04,0.32
대화제약,067080,0.04,0.34
휴온스,243070,0.05,0.35
JW신약,067290,0.04,0.33
중앙백신,072020,0.05,0.35
동화약품,000020,0.04,0.36
이글벳,044960,0.05,0.36
옵투스제약,131030,0.04,0.35
휴럼,353190,0.05,0.35
영진약품,003520,0.04,0.34
진양제약,007370,0.05,0.11
에스텍파마,041910,0.06,0.36
진바이오텍,086060,0.04,0.36
비피도,238200,0.04,0.33
현대약품,004310,0.04,0.35
대성미생물,036480,0.04,0.34
JW중외제약,001060,0.05,0.26
유유제약1우,000225,0.05,0.34
JW중외제약2우B,001067,0.05,0.26
일성신약,003120,0.04,0.35
녹십자홀딩스2우,005257,0.05,0.35
동구바이오제약,006620,0.05,0.35
명문제약,017180,0.04,0.36
코스맥스비티아이,044820,0.05,0.33
종근당바이오,063160,0.04,0.34
경보제약,214390,0.05,0.35
드림씨아이에스,223250,0.05,0.35
JW생명과학,234080,0.05,0.35
에스티팜,237690,0.06,0.35
제일약품,271980,0.04,1.0
압타바이오,293780,0.01,0.34
위더스제약,330350,0.02,0.34
카이바이오텍,446600,0.04,0.35
씨케이에이치,900120,0.07,0.34
한독,002390,0.05,0.35
하나제약,293480,0.05,0.35
바이넥스,053030,0.05,0.35
제넨바이오,072520,0.04,0.35
프롬바이오,377220,0.08,0.37
녹십자홀딩스,005250,0.05,0.35
옵티팜,153710,0.04,0.37
JW중외제약우,001065,0.05,0.26
국전약품,307750,0.05,0.35
동성제약,002210,0.04,0.34
한미사이언스,008930,0.05,0.34
삼성제약,001360,0.05,0.35
HLB생명과학,067630,0.03,0.35
엔지켐생명과학,183490,0.03,0.35
휴메딕스,200670,0.04,0.35
조아제약,034940,0.04,0.38
안국약품,001540,0.04,0.34
한국파마,032300,0.05,0.34
