companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
에스비비테크,389500,0.18,0.74
모델솔루션,417970,0.18,0.74
진성티이씨,036890,0.21,0.75
로보티즈,108490,0.13,0.67
현대에버다임,041440,0.19,0.73
현대건설기계,267270,0.19,0.74
대창단조,015230,0.18,0.74
뉴로메카,348340,0.24,0.73
비엠티,086670,0.21,0.74
현대두산인프라코어,042670,0.16,0.73
TYM,002900,0.22,0.78
대모,317850,0.16,0.71
성광벤드,014620,0.21,0.59
대성하이텍,129920,0.18,0.74
디와이파워,210540,0.16,0.75
수성샐바시온,084180,0.16,0.72
레인보우로보틱스,277810,0.18,0.74
로보스타,090360,0.13,0.76
하이록코리아,013030,0.19,0.75
에이비프로바이오,195990,0.2,0.71
태광,023160,0.19,0.68
아스플로,159010,0.18,0.74
넥스턴바이오,089140,0.05,0.67
부스타,008470,0.18,0.76
혜인,003010,0.15,0.73
디케이락,105740,0.2,0.76
화성밸브,039610,0.15,0.72
해성티피씨,059270,0.18,0.74
두산에너빌리티,034020,0.18,0.74
두산밥캣,241560,0.22,0.75
테라사이언스,073640,0.18,0.72
알에스오토메이션,140670,0.18,0.74
스맥,099440,0.15,0.74
대동,000490,0.18,0.74
코메론,049430,0.16,0.74
에너토크,019990,0.17,0.77
에이테크솔루션,071670,0.19,0.75
대동기어,008830,0.19,0.75
엔케이,085310,0.17,0.71
화천기공,000850,0.14,0.71
휴림로봇,090710,0.21,0.76
코윈테크,282880,0.29,0.84
수산중공업,017550,0.15,0.74
유일로보틱스,388720,0.21,0.73
프리엠스,053160,0.18,0.74
파라텍,033540,0.16,0.7
KC그린홀딩스,009440,0.17,0.64
서암기계공업,100660,0.15,0.69
우림피티에스,101170,0.19,0.69
원방테크,053080,0.26,0.74
흥국,010240,0.2,0.76
우진,105840,0.18,0.74
아세아텍,050860,0.17,0.74
삼익THK,004380,0.2,0.73
에스엠코어,007820,0.14,0.72
3S,060310,0.18,0.62
에스피시스템스,317830,0.17,0.72
티에스넥스젠,043220,0.09,0.72
와이지-원,019210,0.15,0.67
나라엠앤디,051490,0.2,0.73
우진플라임,049800,0.2,0.67
SNT에너지,100840,0.2,0.75
광림,014200,0.2,0.68
에이프로젠,007460,0.29,0.75
에이치케이,044780,0.18,0.75
TPC,048770,0.15,1.0
신진에스엠,138070,0.17,0.7
한국정밀기계,101680,0.06,0.98
다원시스,068240,0.25,0.77
조광ILI,044060,0.25,0.76
SIMPAC,009160,0.15,0.73
에쎈테크,043340,0.17,0.77
씨에스베어링,297090,0.14,0.57
디와이피엔에프,104460,0.23,0.74
KC코트렐,119650,0.19,0.54
화천기계,010660,0.15,0.72
티에스아이,277880,0.27,0.0
이엠코리아,095190,0.17,0.71
디와이,013570,0.16,0.73
영풍정밀,036560,0.22,0.74
포메탈,119500,0.18,0.73
케이피에프,024880,0.16,0.71
큐로,015590,0.15,0.72
기신정기,092440,0.18,0.74
한신기계,011700,0.17,0.76
강원에너지,114190,0.16,0.72
대창솔루션,096350,0.13,0.36
드림시큐리티,203650,1.0,0.93
이엔플러스,074610,0.12,0.72
현대엘리베이,017800,0.17,0.74
에스에프에이,056190,0.18,0.74
동일금속,109860,0.12,0.71
현대로템,064350,0.19,0.73
협진,138360,0.0,0.6
한국테크놀로지,053590,0.27,0.67
