companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
케이피에스,256940,0.31,0.72
루멘스,038060,0.15,0.71
동아엘텍,088130,0.3,0.73
미래나노텍,095500,0.42,1.0
오성첨단소재,052420,0.36,0.79
톱텍,108230,0.63,0.59
미래컴퍼니,049950,0.14,0.57
아하,102950,0.28,0.73
젬,248020,0.28,0.73
엘디티,096870,0.56,0.67
신도기연,290520,0.09,0.7
티엘아이,062860,0.24,1
핌스,347770,0.31,0.72
유아이디,069330,0.58,0.72
LX세미콘,108320,0.42,0.77
영우디에스피,143540,0.3,0.72
AP시스템,265520,0.3,0.74
소룩스,290690,0.21,0.72
넥스트아이,137940,0.14,0.88
트윔,290090,0.28,0.73
선익시스템,171090,0.19,0.71
인베니아,079950,0.27,0.74
비아트론,141000,0.6,0.82
한솔테크닉스,004710,0.37,0.74
서울바이오시스,092190,0.37,0.78
파인텍,131760,0.3,0.66
위지트,036090,0.26,0.74
엘티씨,170920,0.29,0.74
참엔지니어링,009310,0.47,0.69
디아이티,110990,1,0.7
서울반도체,046890,0.29,0.72
덕산네오룩스,213420,0.37,0.74
티로보틱스,117730,0.39,0.68
에스엔유,080000,0.5,0.73
아이엘사이언스,307180,0.23,0.58
에프엔에스테크,083500,0.92,0.84
아이컴포넌트,059100,0.28,0.67
케이엔제이,272110,0.31,0.76
금호전기,001210,0.19,0.76
신화인터텍,056700,0.28,0.72
토비스,051360,0.27,0.61
이엘피,063760,0.2,0.73
엘엠에스,073110,0.18,0.67
예선테크,250930,0.27,0.72
코이즈,121850,0.3,0.72
아이씨디,040910,0.86,0.8
인지디스플레,037330,0.42,0.74
클라우드에어,036170,0.28,0.73
HB솔루션,297890,0.28,0.73
한송네오텍,226440,0.25,0.72
에스엘바이오닉스,214310,0.35,0.73
엘아이에스,138690,0.43,0.73
힘스,238490,0.38,0.79
한국컴퓨터,054040,0.36,0.74
이큐셀,160600,0.21,0.71
파인디앤씨,049120,0.2,0.61
우리엔터프라이즈,037400,0.27,0.74
HB테크놀러지,078150,0.27,0.72
디바이스이엔지,187870,1.0,0.97
나래나노텍,137080,0.63,0.69
프로이천,321260,0.27,0.73
세진티에스,067770,0.49,0.29
와이투솔루션,011690,0.28,0.72
와이엠씨,155650,0.24,0.66
베셀,177350,0.52,0.69
덕산테코피아,317330,0.37,0.73
상보,027580,0.28,0.73
우리이앤엘,153490,0.25,0.73
야스,255440,0.15,0.71
솔브레인홀딩스,036830,0.26,0.74
아바텍,149950,0.28,0.72
DMS,068790,0.34,0.74
제이엠티,094970,0.26,0.86
이라이콤,041520,0.24,0.62
우리바이오,082850,0.27,0.74
디에스케이,109740,0.07,0.64
풍원정밀,371950,0.28,0.73
아바코,083930,0.28,0.73
이녹스첨단소재,272290,0.34,0.74
포인트엔지니어링,256630,0.36,0.77
디이엔티,079810,0.28,0.73
에스에이티이엔지,351320,0.32,0.74
엔젯,419080,0.28,0.73
제이스텍,090470,0.25,0.02
아나패스,123860,0.53,0.73
