companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
디젠스,113810,0.36,0.81
팬스타엔터프라이즈,054300,0.22,0.8
DN오토모티브,007340,1.0,0.83
영신금속,007530,0.28,0.82
엔브이에이치코리아,067570,0.47,0.82
디와이씨,310870,0.34,0.82
SJM,123700,0.24,0.82
BGF에코머티리얼즈,126600,0.19,0.83
피에이치에이,043370,0.32,0.83
넥센타이어,002350,0.42,0.79
인팩,023810,0.39,0.53
골든센츄리,900280,0.45,0.82
코다코,046070,0.24,0.82
핸즈코퍼레이션,143210,0.28,0.81
계양전기,012200,0.35,0.83
엠에스오토텍,123040,0.3,0.82
영화금속,012280,0.15,0.79
우신시스템,017370,0.3,0.8
대유에이텍,002880,0.46,0.83
계양전기우,012205,0.35,0.83
상신브레이크,041650,0.25,0.82
화승알앤에이,378850,0.34,0.82
명신산업,009900,0.55,0.83
금호타이어,073240,0.48,0.84
티피씨글로벌,130740,0.29,0.83
두올,016740,0.34,0.82
코리아에프티,123410,0.28,0.82
한국프랜지,010100,0.28,0.82
풍강,093380,0.5,1.0
서연탑메탈,019770,0.37,0.83
로스웰,900260,0.0,0.81
크린앤사이언스,045520,0.56,0.83
삼기,122350,0.5,0.81
서연,007860,0.35,0.83
동원금속,018500,0.18,0.81
넥센,005720,0.22,0.82
HDC현대EP,089470,0.19,0.82
넥센타이어1우B,002355,0.42,0.79
우리산업,215360,0.26,0.82
태원물산,001420,0.13,0.76
대원산업,005710,0.32,0.82
인지컨트롤스,023800,0.28,0.81
유니테크노,241690,0.27,0.82
한국큐빅,021650,0.41,0.83
화신정공,126640,0.4,0.83
동양피스톤,092780,0.24,0.81
덕양산업,024900,0.3,0.81
삼원강재,023000,0.27,0.82
한일단조,024740,0.32,0.82
디아이씨,092200,0.27,0.83
대유플러스,000300,0.33,0.82
삼성공조,006660,0.21,0.82
모베이스,101330,0.88,0.82
트루윈,105550,0.56,0.81
모베이스전자,012860,0.3,0.81
지엠비코리아,013870,0.28,0.8
SNT모티브,064960,0.35,0.82
화승코퍼레이션,013520,0.21,0.82
체시스,033250,0.22,0.82
CBI,013720,0.14,0.7
동아타이어,282690,0.27,0.82
모토닉,009680,0.36,0.82
경창산업,024910,0.27,0.81
한국앤컴퍼니,000240,0.31,0.82
네오티스,085910,0.25,0.82
SNT중공업,003570,0.34,0.82
유니온머티리얼,047400,0.24,0.81
솔루에타,154040,1,0.82
케이비아이동국실업,001620,0.22,0.83
대성엘텍,025440,0.18,0.81
동일고무벨트,163560,0.28,0.82
유라테크,048430,0.24,0.81
대우부품,009320,0.69,0.82
세방전지,004490,0.41,0.82
유니크,011320,0.3,0.81
SJM홀딩스,025530,0.24,0.82
캐스텍코리아,071850,0.16,1
디아크,078590,0.32,0.77
대성파인텍,104040,0.22,0.84
대동금속,020400,0.55,0.82
새론오토모티브,075180,0.25,0.82
서진오토모티브,122690,0.38,0.82
대유에이피,290120,0.41,0.83
SG글로벌,001380,0.27,0.82
유성기업,002920,0.28,0.81
서연이화,200880,0.44,0.83
폴라리스세원,234100,0.24,0.82
SNT홀딩스,036530,0.3,0.82
한국타이어앤테크놀로지,161390,0.4,0.82
대원강업,000430,0.36,0.81
넥센우,005725,0.22,0.82
부산주공,005030,0.13,0.82
글로벌에스엠,900070,0.26,0.82
우리산업홀딩스,072470,0.29,0.83
모트렉스,118990,0.51,0.82
일진하이솔루스,271940,0.39,0.82
오리엔트정공,065500,0.29,0.84
우수AMS,066590,0.26,0.8
평화산업,090080,0.3,0.84
삼보모터스,053700,0.34,0.8
일정실업,008500,0.16,0.82
에코캡,128540,0.41,0.61
GH신소재,130500,0.24,0.82
세종공업,033530,0.31,0.81
영화테크,265560,0.16,0.81
DRB동일,004840,0.26,0.82
평화홀딩스,010770,0.25,0.82
네오오토,212560,0.33,0.85
HL만도,204320,0.41,0.83
이원컴포텍,088290,0.11,0.78
아이에이,038880,0.22,0.83
아진산업,013310,0.34,0.82
세동,053060,0.18,0.96
성우하이텍,015750,0.24,0.81
금호에이치티,214330,0.24,0.8
아이윈,090150,0.25,0.82
현대위아,011210,0.37,0.83
HL홀딩스,060980,0.5,0.83
티에이치엔,019180,0.22,0.82
동아화성,041930,0.26,0.83
에스엠벡셀,010580,0.26,0.82
일지테크,019540,0.34,0.82
센트랄모텍,308170,0.41,0.82
한국단자,025540,0.46,0.83
오토앤,353590,0.79,0.68
성창오토텍,080470,0.29,0.8
세원물산,024830,0.63,0.82
다이나믹디자인,145210,0.15,0.82
태양금속,004100,0.22,0.82
세원정공,021820,0.26,0.81
한온시스템,018880,0.39,0.82
현대모비스,012330,0.42,0.82
에코플라스틱,038110,0.39,0.82
THE MIDONG,161570,0.41,0.82
현대공업,170030,0.55,0.85
화신,010690,0.45,0.8
오스템,031510,0.16,0.8
에스엘,005850,0.52,0.83
KB오토시스,024120,0.25,0.82
태양금속우,004105,0.22,0.82
한주라이트메탈,198940,0.34,0.82
구영테크,053270,0.22,0.82
