companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
파커스,065690,0.16,0.53
비엔지티,032790,0.33,0.47
빅솔론,093190,0.24,0.51
아이디스홀딩스,054800,0.22,0.5
피씨디렉트,051380,0.44,0.61
아이디피,332370,0.34,0.59
에이루트,096690,0.43,0.79
한국정보공학,039740,0.44,0.0
디지아이,043360,0.35,0.44
딜리,131180,0.09,0.6
씨아이테크,004920,0.35,0.58
인포마크,175140,0.0,0.55
센트럴인사이트,012600,0.11,0.55
푸른기술,094940,0.35,0.49
앱코,129890,1.0,1.0
잉크테크,049550,0.19,0.23
에이텍,045660,0.33,0.64
에이텍티앤,224110,0.28,0.57
오픈베이스,049480,0.33,0.66
케이씨티,089150,0.36,0.55
우리로,046970,0.28,0.45
주연테크,044380,0.74,0.44
엔에스엔,031860,0.35,0.56
메디프론,065650,0.99,0.59
