companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
연우,115960,0.64,0.73
락앤락,115390,0.82,0.79
승일,049830,0.76,0.6
대림제지,017650,1.0,1.0
아세아제지,002310,0.83,0.75
삼보판지,023600,0.88,0.77
대륙제관,004780,0.86,0.88
신대양제지,016590,0.73,0.72
삼양패키징,272550,0.76,0.8
동원시스템즈,014820,0.78,0.76
신풍,002870,0.0,0.51
대영포장,014160,0.75,0.68
삼륭물산,014970,0.76,0.8
태림포장,011280,0.77,0.69
세하,027970,0.85,0.83
NPC우,004255,0.73,0.77
대양제지,006580,0.61,0.67
한창제지,009460,0.73,0.84
한국수출포장,002200,0.76,0.71
아세아,002030,0.77,0.75
엠투엔,033310,0.54,0.0
한국팩키지,037230,0.75,0.73
펌텍코리아,251970,0.91,0.77
동원시스템즈우,014825,0.78,0.76
원림,005820,0.65,0.8
NPC,004250,0.73,0.77
삼화왕관,004450,0.99,0.77
리더스코스메틱,016100,0.76,0.69
세림B&G,340440,0.78,0.76
율촌화학,008730,0.81,0.77
금비,008870,0.83,0.83
