companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
유엔젤,072130,0.12,0.48
나무기술,242040,0.16,0.47
씨이랩,189330,0.25,0.54
브리지텍,064480,0.17,0.48
엔텔스,069410,0.11,0.52
솔트룩스,304100,0.12,0.51
콤텍시스템,031820,0.12,0.5
원티드랩,376980,0.31,0.5
이노뎁,303530,0.14,0.53
딥노이드,315640,1.0,0.52
이씨에스,067010,0.13,0.52
모코엠시스,333050,0.12,0.51
율호,072770,0.19,0.51
APS홀딩스,054620,0.12,0.51
데이타솔루션,263800,0.1,0.52
웨이버스,336060,0.12,0.51
헥토이노베이션,214180,0.19,0.51
비투엔,307870,0.12,0.51
엠브레인,169330,0.13,0.52
핑거,163730,0.12,0.5
갤럭시아머니트리,094480,0.11,0.51
신세계 I&C,035510,0.13,0.53
미래아이앤지,007120,0.07,0.65
쌍용정보통신,010280,0.14,0.0
비츠로시스,054220,0.01,0.52
한솔인티큐브,070590,0.1,0.62
리노스,039980,0.13,0.97
소프트센,032680,0.06,1.0
로지시스,067730,0.12,0.51
NHN,181710,0.15,0.51
에스넷,038680,0.12,0.5
이루온,065440,0.1,0.53
마인즈랩,377480,0.12,0.51
카카오페이,377300,0.25,0.51
가비아,079940,0.15,0.52
이삭엔지니어링,351330,0.12,0.51
싸이버원,356890,0.1,0.51
헥토파이낸셜,234340,0.18,0.51
DB,012030,0.15,0.52
한국전자인증,041460,0.15,0.53
한국정보통신,025770,0.12,0.5
링네트,042500,0.15,0.51
솔트웨어,328380,0.12,0.51
KG모빌리언스,046440,0.21,0.52
케이엘넷,039420,0.14,0.52
쿠콘,294570,0.16,0.52
삼성에스디에스,018260,0.16,0.51
한국정보인증,053300,0.14,0.51
코나아이,052400,0.15,0.32
케이씨에스,115500,0.07,0.51
KG이니시스,035600,0.16,0.51
인포바인,115310,0.12,0.51
롯데정보통신,286940,0.13,0.51
대신정보통신,020180,0.14,0.51
정원엔시스,045510,0.12,0.5
소프트센우,032685,0.06,1.0
토마토시스템,393210,0.12,0.51
카페24,042000,0.15,0.51
에스트래픽,234300,0.12,0.51
SBI핀테크솔루션즈,950110,0.03,0.5
한국전자금융,063570,0.08,0.51
시티랩스,139050,0.0,0.54
케이아이엔엑스,093320,0.16,0.52
NHN한국사이버결제,060250,0.17,0.51
라피치,403360,0.12,0.51
대아티아이,045390,0.12,0.51
플래티어,367000,0.27,0.53
오파스넷,173130,0.14,0.53
수산아이앤티,050960,0.22,0.51
와이더플래닛,321820,0.08,0.53
현대오토에버,307950,0.16,0.52
에프앤가이드,064850,0.12,0.53
이트론,096040,0.21,0.48
한네트,052600,0.11,0.51
아이티아이즈,372800,0.12,0.51
포스코 ICT,022100,0.12,0.5
큐로컴,040350,0.12,0.5
다날,064260,0.16,0.52
아시아나IDT,267850,0.07,0.51
인포뱅크,039290,0.12,0.51
코닉오토메이션,391710,0.19,0.51
티라유텍,322180,0.17,0.47
