companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
KTcs,058850,0.51,1.0
KTis,058860,0.53,0.89
리파인,377450,0.52,0.93
고려신용정보,049720,0.65,0.96
SCI평가정보,036120,0.49,0.95
사람인에이치알,143240,0.55,0.92
한국기업평가,034950,0.55,0.94
효성ITX,094280,0.75,0.97
제이엠아이,033050,0.35,0.85
나이스정보통신,036800,0.71,0.95
자연과환경,043910,0.45,0.0
한창,005110,0.0,0.79
이크레더블,092130,0.56,0.94
나이스디앤비,130580,0.58,0.94
인선이엔티,060150,0.6,0.95
현대이지웰,090850,0.65,0.96
아이마켓코리아,122900,0.52,0.93
NICE평가정보,030190,0.58,0.95
엠피씨플러스,050540,0.45,0.82
누리플랜,069140,1.0,0.49
양지사,030960,0.44,0.67
에스원,012750,0.57,0.93
코엔텍,029960,0.52,0.93
NICE,034310,0.61,0.93
