companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
애니메디솔루션,390110,0.02,0.22
이오플로우,294090,0.02,0.22
셀바스AI,108860,0.02,0.22
제테마,216080,0.04,0.22
코렌텍,104540,0.02,0.22
리메드,302550,0.01,0.22
시너지이노베이션,048870,0.03,0.23
엠아이텍,179290,0.03,0.22
바이오다인,314930,0.02,0.22
덴티움,145720,0.03,0.22
피제이전자,006140,0.02,0.22
루트로닉,085370,0.04,0.22
제놀루션,225220,1.0,1.0
한컴라이프케어,372910,0.08,0.23
나이벡,138610,0.0,0.22
이루다,164060,0.04,0.22
지노믹트리,228760,0.16,0.22
세종메디칼,258830,0.02,0.22
클래시스,214150,0.03,0.22
하이로닉,149980,0.01,0.22
아이오바이오,447690,0.02,0.22
피플바이오,304840,0.12,0.22
디오,039840,0.02,0.22
진시스템,363250,0.55,0.22
마이크로디지탈,305090,0.0,0.22
루트로닉3우C,08537M,0.04,0.22
오스템임플란트,048260,0.03,0.22
엘앤케이바이오,156100,0.01,0.22
비올,335890,0.04,0.22
녹십자엠에스,142280,0.04,0.22
아스타,246720,0.02,0.22
에스디바이오센서,137310,0.38,0.62
노을,376930,0.02,0.22
원텍,336570,0.02,0.22
솔고바이오,043100,0.02,0.22
메타바이오메드,059210,0.01,0.22
신흥,004080,0.02,0.22
티앤엘,340570,0.04,0.22
수젠텍,253840,0.5,0.21
켈스,402420,0.02,0.22
마이크로엔엑스,448780,0.02,0.22
지티지웰니스,219750,0.0,0.22
이노시스,056090,0.01,0.23
피에이치씨,057880,0.1,0.22
휴비츠,065510,0.03,0.22
아이센스,099190,0.03,0.22
인트로메딕,150840,0.0,0.22
한국비엔씨,256840,0.02,0.22
덴티스,261200,0.03,0.23
오스테오닉,226400,0.02,0.22
세운메디칼,100700,0.02,0.22
디알텍,214680,0.03,0.21
디알젬,263690,0.06,0.23
파마리서치,214450,0.04,0.22
비스토스,419540,0.02,0.22
레이언스,228850,0.02,0.22
씨유메디칼,115480,0.02,0.22
이노테라피,246960,0.01,0.22
바텍,043150,0.03,0.22
제노레이,122310,0.02,0.22
레이,228670,0.03,0.22
미코바이오메드,214610,0.51,0.22
한스바이오메드,042520,0.01,0.23
셀바스헬스케어,208370,0.02,0.22
메디아나,041920,0.04,0.22
플라즈맵,405000,0.02,0.22
엘앤씨바이오,290650,0.03,0.22
제이브이엠,054950,0.02,0.22
멕아이씨에스,058110,0.23,0.0
인터로조,119610,0.03,0.22
바이오노트,377740,0.02,0.22
뷰웍스,100120,0.03,0.22
원바이오젠,307280,0.04,0.22
인바디,041830,0.03,0.22
젠큐릭스,229000,0.74,0.22
