companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
미래에셋글로벌리츠,396690,1.0,1.0
이스타코,015020,1,1
신한서부티엔디리츠,404990,1.0,1.0
케이탑리츠,145270,1.0,1.0
신한알파리츠,293940,1.0,1.0
한국토지신탁,034830,0.9,0.77
KB스타리츠,432320,1.0,1.0
이지스밸류리츠,334890,1.0,1.0
미래에셋맵스리츠,357250,1.0,1.0
한국자산신탁,123890,1.0,1.0
NH올원리츠,400760,1.0,1.0
SK디앤디,210980,1.0,1.0
이지스레지던스리츠,350520,1.0,1.0
코람코에너지리츠,357120,1.0,1.0
에이리츠,140910,1.0,1.0
롯데리츠,330590,1.0,1.0
코람코더원리츠,417310,1.0,1.0
마스턴프리미어리츠,357430,1.0,1.0
SK리츠,395400,1.0,1.0
이리츠코크렙,088260,1.0,1.0
디앤디플랫폼리츠,377190,1.0,1.0
NH프라임리츠,338100,1.0,1.0
제이알글로벌리츠,348950,1.0,1.0
모두투어리츠,204210,1.0,1.0
ESR켄달스퀘어리츠,365550,1.0,1.0
