companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
아센디오,012170,0.19,0.7
iMBC,052220,0.3,0.71
드림어스컴퍼니,060570,0.54,0.7
대원미디어,048910,0.42,0.73
팬엔터테인먼트,068050,0.42,0.73
코퍼스코리아,322780,0.61,0.76
포바이포,389140,0.42,0.73
JYP Ent.,035900,0.68,0.76
위지윅스튜디오,299900,0.93,0.72
티와이홀딩스,363280,0.42,0.73
키이스트,054780,0.42,0.73
NHN벅스,104200,0.27,0.69
에스엠,041510,0.48,0.91
YG PLUS,037270,0.37,0.76
지니뮤직,043610,0.47,0.76
하이브,352820,0.75,0.76
티와이홀딩스우,36328K,0.42,0.73
YTN,040300,0.43,1.0
초록뱀이앤엠,131100,0.3,0.72
갤럭시아에스엠,011420,0.16,0.5
NEW,160550,0.43,0.54
와이지엔터테인먼트,122870,0.56,0.83
KX,122450,0.47,0.75
CJ CGV,079160,0.5,0.63
초록뱀컴퍼니,052300,0.36,0.68
쇼박스,086980,0.1,0.61
SM Life Design,063440,0.25,0.6
초록뱀미디어,047820,0.42,0.73
한국경제TV,039340,0.59,0.75
큐브엔터,182360,0.89,0.83
바른손이앤에이,035620,0.33,0.68
스튜디오산타클로스,204630,0.12,0.73
제이웨이,058420,0.06,0.95
에프엔씨엔터,173940,0.31,0.76
KNN,058400,0.26,0.72
아리온,058220,0.19,0.65
씨씨에스,066790,0.38,0.64
SBS,034120,0.51,0.87
티비씨,033830,0.19,0.71
판타지오,032800,0.76,0.52
삼화네트웍스,046390,0.72,0.0
SBS콘텐츠허브,046140,0.38,0.9
IHQ,003560,0.27,0.81
스카이라이프,053210,0.53,0.74
LG헬로비전,037560,0.43,0.75
에이스토리,241840,0.91,0.57
덱스터,206560,0.0,0.67
래몽래인,200350,1.0,0.85
애니플러스,310200,0.42,0.73
콘텐트리중앙,036420,0.62,0.68
스튜디오드래곤,253450,0.53,0.76
아이오케이,078860,0.23,0.22
알비더블유,361570,0.42,0.73
SAMG엔터,419530,0.42,0.73
CJ ENM,035760,0.48,0.73
