companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
다보링크,340360,0.52,0.52
코맥스,036690,0.44,0.48
피피아이,062970,0.01,0.38
이노와이어리스,073490,0.61,0.52
오이솔루션,138080,0.29,0.42
아이크래프트,052460,0.52,0.52
코위버,056360,0.26,0.49
머큐리,100590,0.52,0.52
AP위성,211270,0.52,0.5
파이오링크,170790,0.52,0.52
휴림네트웍스,192410,1,0.34
옵티시스,109080,0.55,0.51
코콤,015710,0.42,0.51
광무,029480,0.49,0.53
라닉스,317120,0.52,0.52
유비벨록스,089850,0.54,0.57
이노인스트루먼트,215790,0.49,0.47
쏠리드,050890,0.58,0.59
웨이브일렉트로,095270,0.57,0.49
텔레필드,091440,0.25,0.44
유비쿼스,264450,0.58,0.54
삼지전자,037460,0.58,0.53
에치에프알,230240,1.0,0.36
하이트론,019490,0.33,0.53
컨버즈,109070,0.01,0.51
인텔리안테크,189300,0.81,0.61
타이드,346010,0.52,0.52
CS,065770,0.83,0.46
다산네트웍스,039560,0.45,0.68
라이트론,069540,0.52,0.52
인성정보,033230,0.5,0.51
RF머트리얼즈,327260,0.52,0.52
서진시스템,178320,0.87,0.66
대한광통신,010170,0.41,0.58
케이엠더블유,032500,0.06,0.49
기가레인,049080,0.52,0.52
텔콘RF제약,200230,0.18,0.45
유비쿼스홀딩스,078070,0.59,0.54
아이즈비전,031310,0.55,1
기산텔레콤,035460,0.55,0.48
뉴지랩파마,214870,0.12,1.0
RFHIC,218410,0.57,0.46
에이스테크,088800,0.52,0.52
우리넷,115440,0.26,0.43
에프알텍,073540,0.46,0.52
알엔투테크놀로지,148250,0.64,0.54
옵티코어,380540,0.52,0.52
현대에이치티,039010,0.51,0.51
