companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
애머릿지,900100,0.57,0.85
씨앤투스,352700,1.0,1.0
호전실업,111110,0.28,0.85
한세실업,105630,0.33,0.86
엠에프엠코리아,323230,0.2,0.85
비비안,002070,0.28,0.85
덕성우,004835,0.4,0.9
신세계인터내셔날,031430,0.31,0.86
휠라홀딩스,081660,0.32,0.86
이스트아시아홀딩스,900110,0.12,0.85
방림,003610,0.33,0.83
LF,093050,0.26,0.86
한세예스24홀딩스,016450,0.3,0.86
이월드,084680,0.21,0.85
디케이앤디,263020,0.35,0.86
일신방직,003200,0.28,0.86
제이에스코퍼레이션,194370,0.48,0.85
신성통상,005390,0.35,0.86
백산,035150,0.31,0.86
형지I&C,011080,0.19,0.81
전방,000950,0.22,0.85
유니켐,011330,0.34,0.86
TBH글로벌,084870,0.24,0.85
형지엘리트,093240,0.27,0.85
F&F,383220,0.3,0.86
성안,011300,0.17,0.86
토박스코리아,215480,0.26,0.84
쌍방울,102280,0.3,0.85
덕성,004830,0.4,0.9
코데즈컴바인,047770,0.27,0.86
태평양물산,007980,0.24,0.85
아가방컴퍼니,013990,0.27,0.86
그리티,204020,0.3,0.85
케이엠,083550,0.44,0.88
패션플랫폼,225590,0.21,0.85
신원,009270,0.3,0.85
에스티오,098660,0.24,0.85
까스텔바작,308100,0.24,0.86
대한방직,001070,0.33,0.85
대현,016090,0.25,0.85
휴비스,079980,0.26,0.89
한세엠케이,069640,0.21,0.86
지엔코,065060,0.24,0.86
BYC우,001465,0.28,0.86
한섬,020000,0.32,0.86
좋은사람들,033340,0.27,0.86
에스제이그룹,306040,0.37,0.86
비케이탑스,030790,0.25,0.86
화승엔터프라이즈,241590,0.34,0.87
인디에프,014990,0.22,0.9
SG세계물산,004060,0.2,1
신영와코루,005800,0.3,0.86
조광피혁,004700,0.27,0.86
영원무역,111770,0.35,0.86
경방,000050,0.28,0.85
제이에스티나,026040,0.18,0.85
삼양통상,002170,0.31,0.86
대원화성,024890,0.24,0.85
원풍물산,008290,0.21,0.87
브랜드엑스코퍼레이션,337930,0.65,0.86
폴라리스우노,114630,0.34,0.87
DI동일,001530,0.3,0.86
진도,088790,0.21,0.85
윌비스,008600,0.26,0.85
배럴,267790,0.13,0.85
더네이쳐홀딩스,298540,0.39,0.86
영원무역홀딩스,009970,0.35,0.86
메타랩스,090370,0.16,0.85
효성티앤씨,298020,0.36,0.86
공구우먼,366030,0.4,0.86
LS네트웍스,000680,0.24,0.86
화승인더,006060,0.27,0.85
F&F홀딩스,007700,1,0.85
BYC,001460,0.28,0.86
코웰패션,033290,0.32,0.86
감성코퍼레이션,036620,0.76,0.87
아즈텍WB,032080,0.24,0.85
크리스에프앤씨,110790,0.33,0.86
젬백스링크,064800,0.29,0.85
윙스풋,335870,0.26,0.85
국동,005320,0.34,0.83
