companyName,companyCode,averageSalesGrowthRate,averageOperatingProfitsGrowthRate
카나리아바이오,016790,0.35,0.98
CJ제일제당,097950,0.49,0.99
사조씨푸드,014710,0.14,0.99
CJ씨푸드,011150,0.41,0.99
팜스코,036580,0.52,0.99
SPC삼립,005610,0.49,0.99
마니커,027740,0.34,0.99
케이씨피드,025880,0.43,0.98
푸드웰,005670,0.38,0.99
롯데지주,004990,0.54,0.99
대상,001680,0.5,0.99
남양유업,003920,0.36,1
오리온,271560,0.5,0.99
크라운해태홀딩스우,005745,0.43,0.99
한일사료,005860,0.39,0.99
조흥,002600,0.52,0.99
크라운제과우,26490K,0.41,0.99
서울식품,004410,0.41,0.99
선진,136490,0.65,1.0
이지홀딩스,035810,0.41,0.99
오뚜기,007310,0.49,0.99
CJ제일제당 우,097955,0.49,0.99
큐로홀딩스,051780,0.65,0.99
빙그레,005180,0.51,0.99
오리온홀딩스,001800,0.48,0.99
대한제당,001790,0.42,0.99
우리손에프앤지,073560,0.45,1.0
엠에스씨,009780,0.42,0.99
사조오양,006090,0.45,0.99
마니커에프앤지,195500,0.36,0.99
윙입푸드,900340,0.54,0.99
동우팜투테이블,088910,0.43,0.98
신라에스지,025870,0.2,0.98
한성기업,003680,0.4,0.98
HLB글로벌,003580,0.55,0.97
삼양사우,145995,0.4,0.99
보락,002760,0.46,0.98
삼양사,145990,0.4,0.99
풀무원,017810,0.47,0.99
교촌에프앤비,339770,0.5,0.99
대상홀딩스,084690,0.46,0.99
서울식품우,004415,0.41,0.99
이지바이오,353810,0.42,0.99
우양,103840,0.51,0.99
한탑,002680,0.3,0.99
인산가,277410,0.54,0.99
사조산업,007160,0.3,0.99
동원F&B,049770,0.49,0.99
롯데지주우,00499K,0.54,0.99
동원수산,030720,0.33,0.98
사조동아원,008040,0.37,0.99
메지온,140410,0.85,0.99
팜스토리,027710,0.49,0.99
해태제과식품,101530,0.45,0.99
대주산업,003310,0.42,0.99
하림,136480,0.5,0.98
고려산업,002140,0.41,0.99
대한제당우,001795,0.42,0.99
매일유업,267980,0.46,0.99
대한제분,001130,0.44,0.99
대상홀딩스우,084695,0.46,0.99
농심홀딩스,072710,0.48,0.99
동서,026960,0.4,0.99
남양유업우,003925,0.36,1
사조대림,003960,0.63,0.99
롯데제과,280360,0.54,0.99
크라운제과,264900,0.41,0.99
샘표식품,248170,0.51,0.99
에스앤디,260970,0.53,0.99
농심,004370,0.49,0.99
대상우,001685,0.5,0.99
삼양식품,003230,0.56,0.99
하림지주,003380,0.42,0.99
신라교역,004970,0.42,0.99
크라운해태홀딩스,005740,0.43,0.99
엠피대산,065150,1,1.0
에이치피오,357230,0.42,0.99
체리부로,066360,0.42,0.99
매일홀딩스,005990,0.45,0.99
미래생명자원,218150,0.38,0.99
동원산업,006040,0.46,0.99
한국맥널티,222980,0.52,0.99
CJ씨푸드1우,011155,0.41,0.99
샘표,007540,0.51,0.99
우성,006980,0.52,0.98
정다운,208140,0.41,0.98
푸드나무,290720,1.0,0.99
오에스피,368970,0.42,0.99
